symbol,entry_date,entry_price,exit_date,exit_price,position_size,pnl,return_pct,holding_days,exit_reason
2382,2022-08-01,67.42460167766082,2022-08-16,66.05557423242914,3251,-5108.300364610418,-2.330456852791861,15,MA10_Exit
2308,2022-11-14,266.3205341545518,2022-11-29,276.14958726043164,727,6564.8765229835635,3.3906854130052984,15,MA10_Exit
2891,2022-11-24,19.62455145887867,2022-12-07,19.40842203752538,11683,-3212.8609337527314,-1.4013215859030896,13,MA10_Exit
2882,2022-12-01,39.38819960941218,2022-12-06,38.09165274372211,7043,-9963.812844602471,-3.5917139614074998,5,MA10_Exit
2882,2023-01-10,37.51044207979208,2023-02-10,38.00223571850211,8067,9190.029740809488,3.0370551429158588,31,MA10_Exit
2881,2023-01-10,47.15060654464532,2023-02-07,46.99238303275052,5455,-1634.7289334892735,-0.6355704697987012,28,MA10_Exit
2886,2023-01-10,27.361061948100964,2023-02-07,27.705768240360502,11027,2895.944994440796,0.9598425196850326,28,MA10_Exit
2330,2023-01-16,477.1708819278002,2023-02-08,507.3476965951709,296,8508.609398389826,6.024110671936735,23,MA10_Exit
2317,2023-03-08,93.40918764819124,2023-03-10,91.17451808722973,6260,-15743.255995652064,-2.6923444976076487,2,MA10_Exit
2330,2023-03-23,500.7587440471558,2023-04-07,507.3975910326294,759,3898.657201779093,1.0257575757575657,15,MA10_Exit
2317,2023-03-27,93.85612156038354,2023-03-29,92.06838591161434,5995,-12405.47756063485,-2.2047619047618934,2,MA10_Exit
2308,2023-04-17,295.3396433242922,2023-04-24,280.8300887394221,628,-9668.42016732139,-5.212836767036437,7,MA10_Exit
2891,2023-05-03,19.75422911169065,2023-05-19,20.921327986998406,29242,23547.2666537993,4.076367614879636,16,TP_2.5R
2882,2023-05-12,38.94111448331216,2023-05-26,39.25407407158217,14610,11030.442652222922,1.9388059701492253,14,MA10_Exit
2881,2023-05-18,47.704388836277055,2023-05-26,47.54616532438227,14319,5313.298136003971,0.7778451713312203,8,MA10_Exit
2308,2023-05-29,303.29649583857577,2023-06-16,351.0376109242775,594,24203.464763246124,13.434567901234566,18,TP_2.5R
2317,2023-05-31,96.09079112134505,2023-06-30,101.0070641554604,2798,16700.70910772436,6.211627906976765,30,MA10_Exit
2881,2023-06-06,48.732841663593135,2023-06-09,48.41639463980358,18561,-8587.164030911827,-0.9493506493506314,3,MA10_Exit
2454,2023-06-21,615.7797695908018,2023-06-27,607.7362022086288,5340,-52817.44172964859,-1.6062409288824373,6,MA10_Exit
2317,2023-07-05,103.39502589969787,2023-07-07,98.69525199516615,6330,-31713.04035752108,-4.845454545454548,2,MA10_Exit
2891,2023-07-17,21.958749209494194,2023-08-01,22.823266894907352,21796,15993.9617176099,3.3417322834645713,15,MA10_Exit
2882,2023-07-19,41.337899702952996,2023-07-25,40.51479993010658,6596,-6247.160461017013,-2.2911504424779,6,MA10_Exit
2881,2023-07-20,51.62444586323877,2023-08-10,52.92727099543407,4213,4836.320910673333,2.223659305993695,21,MA10_Exit
2882,2023-07-27,41.657994059059924,2023-08-15,41.52081076358552,10519,4456.837105381836,1.0170772786977282,19,MA10_Exit
2454,2023-09-14,656.8913362107974,2023-09-25,662.2537144655794,565,12249.615796039492,3.300505689001265,11,MA10_Exit
2881,2023-09-18,53.43618706269787,2023-09-21,52.83770176759565,24155,-18328.665598692573,-1.4200000000000108,3,MA10_Exit
2382,2023-10-03,237.16767056839203,2023-10-12,216.86537970261526,361,-7585.979589770982,-8.8603112840467,9,MA10_Exit
2886,2023-10-12,34.638398217198265,2023-10-23,33.55875983120767,13179,-15598.052639283469,-3.416883116883127,11,MA10_Exit
2330,2023-11-14,552.1609219978006,2023-11-27,549.2850838623956,380,-1722.2819425314106,-0.8208333333333034,13,MA10_Exit
2330,2023-12-18,558.0471587467242,2023-12-22,560.9385948024064,1433,1744.3831323404538,0.21813471502585496,4,MA10_Exit
2317,2023-12-21,96.81534243335346,2024-01-08,97.28531982380663,8429,5474.239306756884,0.6708161951284651,18,MA10_Exit
2881,2024-02-16,56.001124041707364,2024-03-01,57.96757572561465,14157,20014.245568671337,2.5244760097640135,14,TP_2.5R
2412,2024-02-16,112.37692077785513,2024-02-29,110.98955138553593,7385,-12735.433642110678,-1.5345679012345692,13,MA10_Exit
2317,2024-03-06,99.6352067760725,2024-03-13,114.20450588012083,4659,44594.21639334328,9.606672822332108,7,TP_2.5R
2382,2024-03-19,236.24483916540217,2024-03-21,234.86059206091738,1437,-3007.6145907866858,-0.885937500000003,2,MA10_Exit
2882,2024-04-30,46.45940940066398,2024-05-16,52.12965228027258,5064,26387.340775397533,11.215748031496071,16,TP_2.5R
2891,2024-04-30,30.91951583314442,2024-05-27,33.13127681974892,4185,11417.598831478528,8.823616670591022,27,MA10_Exit
2317,2024-05-07,159.32233536362534,2024-05-21,156.03249363045316,696,-2622.394882527088,-2.3648967551622277,14,MA10_Exit
2412,2024-05-09,116.53902895481274,2024-05-28,116.53902895481274,7011,-2451.1653960065764,-0.3,19,MA10_Exit
2382,2024-05-16,277.2723292469352,2024-05-31,268.68213660245186,568,-5351.701471103322,-3.39810671256454,15,MA10_Exit
2308,2024-05-28,340.38194518925206,2024-05-31,320.13259434229934,377,-8018.977249310221,-6.249008498583584,3,MA10_Exit
2330,2024-06-07,857.0869350659815,2024-06-20,944.1129782563056,352,26647.80542313192,8.832708746578207,13,TP_2.5R
2317,2024-06-14,180.94129532447127,2024-07-03,197.8157300858006,786,13038.934521406904,9.16815323352633,19,MA10_Exit
2382,2024-06-24,298.7478108581436,2024-06-28,292.0665499124343,587,-4447.995070052557,-2.5364217252396264,4,MA10_Exit
2881,2024-08-19,81.56958064426004,2024-08-23,77.42047859850224,1775,-7799.01414815078,-5.386580086580067,4,MA10_Exit
2882,2024-08-27,60.22680412371134,2024-09-05,58.8041237113402,7649,-12264.106948453624,-2.662204724409452,9,MA10_Exit
2882,2024-09-23,61.55463917525773,2024-10-07,63.16701030927834,6851,17577.51079999993,4.168143055606455,14,MA10_Exit
2881,2024-09-23,84.25766909730955,2024-10-01,84.16497639203196,3072,-1061.2706690135465,-0.4100110011001301,8,MA10_Exit
2317,2024-10-16,196.85077530489426,2024-10-30,202.15802659987915,1303,6145.858756698486,2.3960784313725494,14,MA10_Exit
2330,2024-10-21,1064.657099258329,2024-10-25,1040.2383584496515,192,-5301.64072443888,-2.593577981651399,4,MA10_Exit
2454,2024-12-13,1303.5394517501695,2025-01-03,1312.691042374333,182,953.8569529421496,0.40205705027770583,21,MA10_Exit
2882,2024-12-17,66.01237113402061,2024-12-19,64.02061855670102,23218,-50842.53703917525,-3.317241379310345,2,MA10_Exit
2330,2025-01-07,1127.6635916670966,2025-01-14,1063.926084312,158,-10605.038704555462,-5.9521739130434606,7,MA10_Exit
2454,2025-01-09,1413.667276403128,2025-01-14,1331.9246107607703,159,-13671.403127979163,-6.082312925170064,5,MA10_Exit
2412,2025-02-05,121.31598513011153,2025-02-14,121.31598513011153,5104,-1857.5903643122676,-0.3,9,MA10_Exit
2412,2025-03-19,124.20446096654275,2025-04-01,124.20446096654275,11320,-4217.983494423793,-0.30000000000000004,13,MA10_Exit
2382,2025-05-16,264.38704028021016,2025-05-23,256.7513134851138,562,-4737.035008756573,-3.188086642599282,7,MA10_Exit
2891,2025-05-23,40.981065636088935,2025-05-27,39.18074136537058,5301,-10195.240845888728,-4.693063583815024,4,MA10_Exit
2308,2025-06-04,375.32334581772784,2025-06-19,400.5,1025,18301.16972534331,4.757178025561261,15,TP_2.5R
2882,2025-06-06,61.55463917525773,2025-06-18,62.88247422680412,6222,11243.705641237113,2.9357473035439137,12,MA10_Exit
2330,2025-06-11,1049.2552876567365,2025-06-24,1033.966476000178,120,-2212.3893023434375,-1.7571107562109487,13,MA10_Exit
2317,2025-06-25,155.8401971163746,2025-07-09,159.5,1934,10525.373953262297,3.4922198463418312,14,MA10_Exit
2382,2025-06-25,277.7495621716287,2025-07-08,275.5,1459,-4497.821042031528,-1.1099246508401914,13,MA10_Exit
2886,2025-08-06,41.25558139534884,2025-08-08,40.6,147669,-115085.56041697711,-1.8890732191275093,2,MA10_Exit
2412,2025-08-07,132.5,2025-08-26,134.5,3592,9348.18,1.9641509433962263,19,MA10_Exit
2317,2025-08-07,190.0,2025-08-21,201.0,299,3118.57,5.489473684210527,14,MA10_Exit
2330,2025-08-08,1167.5410925169474,2025-08-21,1127.9634283638306,269,-11588.597318849585,-3.6898305084745675,13,MA10_Exit
2881,2025-08-26,86.82926829268294,2025-08-28,83.41463414634147,10623,-39040.820487804944,-4.232584269662928,2,MA10_Exit
2454,2025-09-08,1422.4262295081967,2025-09-22,1397.9016393442623,143,-4117.23724590163,-2.024137931034478,14,MA10_Exit
2330,2025-09-11,1241.7492128040417,2025-10-16,1455.3686234693394,106,19879.461030355422,15.103056499511386,35,TP_2.5R
2317,2025-09-12,217.0,2025-10-01,219.0,670,903.8299999999999,0.6216589861751152,19,MA10_Exit
2886,2025-10-01,42.45,2025-10-07,41.55,11813,-12136.085550000069,-2.4201413427561973,6,MA10_Exit
2382,2025-10-01,293.0,2025-10-14,299.0,748,3830.508,1.7477815699658703,13,MA10_Exit
2881,2025-10-13,88.7,2025-10-28,91.8,6229,15472.563099999956,2.800401565720791,15,TP_2.5R
2382,2025-10-28,308.0,2025-11-04,297.5,556,-6351.744,-3.709090909090909,7,MA10_Exit
2881,2025-11-14,93.4,2025-11-19,89.6,4748,-19372.78960000005,-4.368522483940055,5,MA10_Exit
2882,2025-11-17,65.8,2025-11-20,64.9,7283,-7992.364199999938,-1.6677811550151849,3,MA10_Exit
2891,2025-11-25,43.75,2025-12-15,46.5,11886,21914.81250000002,4.214285714285718,20,TP_2.5R
2454,2026-01-05,1481.2852459016394,2026-01-12,1445.0,89,-3624.8900459016468,-2.7495785671282413,7,MA10_Exit
2882,2026-02-24,79.2,2026-02-26,77.0,3245,-7910.012000000009,-3.0777777777777815,2,MA10_Exit
2308,2026-02-24,1355.0,2026-03-05,1335.0,57,-1371.705,-1.7760147601476015,9,MA10_Exit
2891,2026-04-09,55.8,2026-04-14,53.3,3579,-9546.6246,-4.780286738351255,5,MA10_Exit
2382,2026-04-09,304.5,2026-04-20,329.0,490,11557.385,7.7459770114942526,11,EndOfData
