symbol,entry_date,entry_price,exit_date,exit_price,position_size,pnl,return_pct,holding_days,exit_reason
2915,2022-05-04,97.45299716136702,2022-05-09,77.39392191231897,1061,-21592.87172920461,-20.883333333333336,5,MA10_Exit
2609,2022-05-05,49.40615998245407,2022-05-12,46.59899180163282,3403,-10057.180806595588,-5.981818181818175,7,MA10_Exit
5609,2022-05-12,69.97828225140572,2022-05-17,66.85425179375368,2561,-8538.285144584424,-4.7642857142857125,5,MA10_Exit
3533,2022-05-16,725.6673481929779,2022-05-24,712.2290639671819,172,-2685.829238504488,-2.151851851851867,8,MA10_Exit
2364,2022-05-16,10.628502203715879,2022-05-30,14.186841015900844,3645,12853.922298816566,33.17921225382931,14,TP_1.5R
2364,2022-05-16,10.628502203715879,2022-05-31,15.140382789100734,3646,16334.062057208937,42.15076586433257,15,TP_2.5R
2474,2022-05-17,118.24875443703941,2022-06-02,127.63357621775684,919,8298.6394004964,7.636507936507949,16,TP_1.5R
2474,2022-05-17,118.24875443703941,2022-06-13,123.87964750546986,920,4854.055060709788,4.4619047619047665,27,MA10_Exit
1319,2022-05-18,29.932594601419286,2022-05-24,33.52450595358959,2516,8811.317738008971,11.699999999999964,6,TP_1.5R
6290,2022-05-18,47.295338911917625,2022-05-25,45.7696828179848,2956,-4929.2544791363125,-3.525806451612898,7,MA10_Exit
1319,2022-05-18,29.932594601419286,2022-06-06,35.91911352170314,2516,14836.150379382661,19.69999999999999,19,TP_2.5R
2371,2022-05-23,33.333054874930994,2022-06-01,32.59539390951067,5724,-4794.766584378255,-2.513001383125861,9,MA10_Exit
2641,2022-05-25,24.227789491606313,2022-05-27,23.633763129290223,9890,-6593.759237522085,-2.7518388791593607,2,MA10_Exit
4958,2022-05-25,92.55127347438547,2022-06-01,100.02177985348384,1169,8408.44464109132,7.771748878923754,7,TP_1.5R
4958,2022-05-25,92.55127347438547,2022-06-13,94.62641413524612,1169,2101.262116471435,1.942152466367706,19,MA10_Exit
2641,2022-05-26,24.14292858270401,2022-06-01,23.46404131148562,11303,-8492.125391892367,-3.111950790861156,6,MA10_Exit
2364,2022-05-30,14.186841015900844,2022-06-15,14.44266929651545,3182,678.6180045778881,1.5032786885245972,16,MA10_Exit
